date,EURUSD_D1_p_short,EURUSD_D1_p_no,EURUSD_D1_p_long,EURUSD_D1_trend_up,EURUSD_H4_p_short,EURUSD_H4_p_no,EURUSD_H4_p_long,EURUSD_H4_trend_up,EURUSD_H2_p_short,EURUSD_H2_p_no,EURUSD_H2_p_long,EURUSD_H2_trend_up,EURUSD_M30_p_short,EURUSD_M30_p_no,EURUSD_M30_p_long,EURUSD_M30_trend_up,EURUSD_M15_p_short,EURUSD_M15_p_no,EURUSD_M15_p_long,EURUSD_M15_trend_up,GBPUSD_D1_p_short,GBPUSD_D1_p_no,GBPUSD_D1_p_long,GBPUSD_D1_trend_up,GBPUSD_H4_p_short,GBPUSD_H4_p_no,GBPUSD_H4_p_long,GBPUSD_H4_trend_up,GBPUSD_H2_p_short,GBPUSD_H2_p_no,GBPUSD_H2_p_long,GBPUSD_H2_trend_up,GBPUSD_M30_p_short,GBPUSD_M30_p_no,GBPUSD_M30_p_long,GBPUSD_M30_trend_up,GBPUSD_M15_p_short,GBPUSD_M15_p_no,GBPUSD_M15_p_long,GBPUSD_M15_trend_up,USDJPY_D1_p_short,USDJPY_D1_p_no,USDJPY_D1_p_long,USDJPY_D1_trend_up,USDJPY_H4_p_short,USDJPY_H4_p_no,USDJPY_H4_p_long,USDJPY_H4_trend_up,USDJPY_H2_p_short,USDJPY_H2_p_no,USDJPY_H2_p_long,USDJPY_H2_trend_up,USDJPY_M30_p_short,USDJPY_M30_p_no,USDJPY_M30_p_long,USDJPY_M30_trend_up,USDJPY_M15_p_short,USDJPY_M15_p_no,USDJPY_M15_p_long,USDJPY_M15_trend_up,USDCHF_D1_p_short,USDCHF_D1_p_no,USDCHF_D1_p_long,USDCHF_D1_trend_up,USDCHF_H4_p_short,USDCHF_H4_p_no,USDCHF_H4_p_long,USDCHF_H4_trend_up,USDCHF_H2_p_short,USDCHF_H2_p_no,USDCHF_H2_p_long,USDCHF_H2_trend_up,USDCHF_M30_p_short,USDCHF_M30_p_no,USDCHF_M30_p_long,USDCHF_M30_trend_up,USDCHF_M15_p_short,USDCHF_M15_p_no,USDCHF_M15_p_long,USDCHF_M15_trend_up,AUDUSD_D1_p_short,AUDUSD_D1_p_no,AUDUSD_D1_p_long,AUDUSD_D1_trend_up,AUDUSD_H4_p_short,AUDUSD_H4_p_no,AUDUSD_H4_p_long,AUDUSD_H4_trend_up,AUDUSD_H2_p_short,AUDUSD_H2_p_no,AUDUSD_H2_p_long,AUDUSD_H2_trend_up,AUDUSD_M30_p_short,AUDUSD_M30_p_no,AUDUSD_M30_p_long,AUDUSD_M30_trend_up,AUDUSD_M15_p_short,AUDUSD_M15_p_no,AUDUSD_M15_p_long,AUDUSD_M15_trend_up,USDCAD_D1_p_short,USDCAD_D1_p_no,USDCAD_D1_p_long,USDCAD_D1_trend_up,USDCAD_H4_p_short,USDCAD_H4_p_no,USDCAD_H4_p_long,USDCAD_H4_trend_up,USDCAD_H2_p_short,USDCAD_H2_p_no,USDCAD_H2_p_long,USDCAD_H2_trend_up,USDCAD_M30_p_short,USDCAD_M30_p_no,USDCAD_M30_p_long,USDCAD_M30_trend_up,USDCAD_M15_p_short,USDCAD_M15_p_no,USDCAD_M15_p_long,USDCAD_M15_trend_up,NZDUSD_D1_p_short,NZDUSD_D1_p_no,NZDUSD_D1_p_long,NZDUSD_D1_trend_up,NZDUSD_H4_p_short,NZDUSD_H4_p_no,NZDUSD_H4_p_long,NZDUSD_H4_trend_up,NZDUSD_H2_p_short,NZDUSD_H2_p_no,NZDUSD_H2_p_long,NZDUSD_H2_trend_up,NZDUSD_M30_p_short,NZDUSD_M30_p_no,NZDUSD_M30_p_long,NZDUSD_M30_trend_up,NZDUSD_M15_p_short,NZDUSD_M15_p_no,NZDUSD_M15_p_long,NZDUSD_M15_trend_up,CAD_target,JPY_target,AUD_target,EUR_target,GBP_target,CHF_target,NZD_target
2024-09-27,0.09015712887048721,0.8310410380363464,0.07880181819200516,1,0.2348356544971466,0.5458366870880127,0.21932770311832428,1,0.27838021516799927,0.45272037386894226,0.26889941096305847,1,0.2310921847820282,0.3651915490627289,0.4037162959575653,1,0.3366030156612396,0.1927296370267868,0.4706673324108124,1,0.08040322363376617,0.848755419254303,0.07084137946367264,1,0.22197337448596954,0.5602320432662964,0.21779459714889526,1,0.2776763141155243,0.4758290946483612,0.24649465084075928,1,0.25268039107322693,0.3567498028278351,0.390569806098938,1,0.40408962965011597,0.24535220861434937,0.35055819153785706,1,0.08610609173774719,0.8329377770423889,0.08095614612102509,0,0.2128225415945053,0.5797638893127441,0.20741359889507294,1,0.27881839871406555,0.4435266852378845,0.2776549458503723,1,0.4703310430049896,0.11956220865249634,0.4101068079471588,1,0.552221417427063,0.05135788768529892,0.39642074704170227,1,0.09286855161190033,0.8329085111618042,0.07422294467687607,0,0.20911748707294464,0.5737074613571167,0.21717502176761627,1,0.23246586322784424,0.5190361142158508,0.24849797785282135,1,0.18597003817558289,0.317286878824234,0.4967431128025055,0,0.4193795323371887,0.15978242456912994,0.42083805799484253,0,0.09375439584255219,0.8337721228599548,0.07247347384691238,1,0.2257670760154724,0.5617467761039734,0.2124861776828766,1,0.3002728521823883,0.4031359553337097,0.2965911626815796,1,0.3414544463157654,0.12468113005161285,0.533864438533783,1,0.46384716033935547,0.1727568507194519,0.3633959889411926,1,0.06802406907081604,0.8434947729110718,0.08848109096288681,0,0.2596428394317627,0.4702555239200592,0.2701016366481781,0,0.2895594537258148,0.4499678313732147,0.2604726552963257,0,0.23718343675136566,0.3482409119606018,0.4145757257938385,1,0.38221243023872375,0.20909751951694489,0.40869003534317017,1,0.07959402352571487,0.8548519015312195,0.06555404514074326,1,0.21206480264663696,0.5673556923866272,0.22057954967021942,1,0.28681087493896484,0.43254297971725464,0.2806461751461029,1,0.39034193754196167,0.09846632927656174,0.511191725730896,1,0.4342708885669708,0.1165766492486,0.4491523802280426,1,-0.0007399350337041236,-0.010298255486775454,0.0017099218942457795,-0.0025531914893617193,0.00014956849489221942,-0.006152271699550192,0.001119820828667395
2024-09-28,0.09021031111478806,0.8310033082962036,0.07878631353378296,1,0.2345861941576004,0.5543241500854492,0.211089625954628,1,0.1735290288925171,0.6456242799758911,0.1808466911315918,1,0.19785858690738678,0.5357317924499512,0.26640960574150085,1,0.47004613280296326,0.15753673017024994,0.3724170923233032,0,0.08020365238189697,0.8488637208938599,0.07093263417482376,1,0.22555920481681824,0.5627889037132263,0.2116519659757614,1,0.12586264312267303,0.7495346069335938,0.12460270524024963,1,0.2171115130186081,0.5203757882118225,0.2625126540660858,0,0.3983438014984131,0.2599080204963684,0.3417482376098633,0,0.08735231310129166,0.8319917321205139,0.08065592497587204,0,0.21762557327747345,0.5655267238616943,0.21684768795967102,1,0.24698090553283691,0.4951167106628418,0.25790244340896606,0,0.2954629957675934,0.31518539786338806,0.38935163617134094,0,0.46660345792770386,0.19266539812088013,0.34073111414909363,0,0.09285131841897964,0.8329166173934937,0.07423201948404312,0,0.21526893973350525,0.5741373896598816,0.2105935961008072,0,0.15867547690868378,0.6513832807540894,0.1899411827325821,0,0.32306432723999023,0.4693666994571686,0.20756903290748596,0,0.43818598985671997,0.21037174761295319,0.35144227743148804,0,0.09253135323524475,0.8348340392112732,0.07263462245464325,1,0.22312210500240326,0.5581042170524597,0.2187737375497818,1,0.29576045274734497,0.4210282862186432,0.28321126103401184,1,0.3212093114852905,0.31953150033950806,0.3592592179775238,1,0.4734337031841278,0.14098985493183136,0.38557642698287964,1,0.06687306612730026,0.845683753490448,0.08744315803050995,0,0.22179050743579865,0.5666168928146362,0.2115926295518875,0,0.16563506424427032,0.6579144597053528,0.17645050585269928,0,0.2542091906070709,0.4745844304561615,0.2712063193321228,1,0.47125810384750366,0.1563999205827713,0.37234196066856384,1,0.07975893467664719,0.8531317114830017,0.0671093612909317,1,0.2197960913181305,0.5615746378898621,0.21862930059432983,1,0.28165602684020996,0.4507286250591278,0.2676153779029846,1,0.3378354609012604,0.3766641318798065,0.2855004072189331,1,0.5004097819328308,0.13958300650119781,0.36000725626945496,1,-0.0007399350337041236,-0.010298255486775454,0.0017099218942457795,-0.0025531914893617193,0.00014956849489221942,-0.006152271699550192,0.001119820828667395
2024-09-29,0.09021031111478806,0.8310033082962036,0.07878631353378296,1,0.2345861941576004,0.5543241500854492,0.211089625954628,1,0.1735290288925171,0.6456242799758911,0.1808466911315918,1,0.19785858690738678,0.5357317924499512,0.26640960574150085,1,0.47004613280296326,0.15753673017024994,0.3724170923233032,0,0.08020365238189697,0.8488637208938599,0.07093263417482376,1,0.22555920481681824,0.5627889037132263,0.2116519659757614,1,0.12586264312267303,0.7495346069335938,0.12460270524024963,1,0.2171115130186081,0.5203757882118225,0.2625126540660858,0,0.3983438014984131,0.2599080204963684,0.3417482376098633,0,0.08735231310129166,0.8319917321205139,0.08065592497587204,0,0.21762557327747345,0.5655267238616943,0.21684768795967102,1,0.24698090553283691,0.4951167106628418,0.25790244340896606,0,0.2954629957675934,0.31518539786338806,0.38935163617134094,0,0.46660345792770386,0.19266539812088013,0.34073111414909363,0,0.09285131841897964,0.8329166173934937,0.07423201948404312,0,0.21526893973350525,0.5741373896598816,0.2105935961008072,0,0.15867547690868378,0.6513832807540894,0.1899411827325821,0,0.32306432723999023,0.4693666994571686,0.20756903290748596,0,0.43818598985671997,0.21037174761295319,0.35144227743148804,0,0.09253135323524475,0.8348340392112732,0.07263462245464325,1,0.22312210500240326,0.5581042170524597,0.2187737375497818,1,0.29576045274734497,0.4210282862186432,0.28321126103401184,1,0.3212093114852905,0.31953150033950806,0.3592592179775238,1,0.4734337031841278,0.14098985493183136,0.38557642698287964,1,0.06687306612730026,0.845683753490448,0.08744315803050995,0,0.22179050743579865,0.5666168928146362,0.2115926295518875,0,0.16563506424427032,0.6579144597053528,0.17645050585269928,0,0.2542091906070709,0.4745844304561615,0.2712063193321228,1,0.47125810384750366,0.1563999205827713,0.37234196066856384,1,0.07975893467664719,0.8531317114830017,0.0671093612909317,1,0.2197960913181305,0.5615746378898621,0.21862930059432983,1,0.28165602684020996,0.4507286250591278,0.2676153779029846,1,0.3378354609012604,0.3766641318798065,0.2855004072189331,1,0.5004097819328308,0.13958300650119781,0.36000725626945496,1,-0.0007399350337041236,-0.010298255486775454,0.0017099218942457795,-0.0025531914893617193,0.00014956849489221942,-0.006152271699550192,0.001119820828667395
2024-09-30,0.09021031111478806,0.8310033082962036,0.07878631353378296,1,0.2345861941576004,0.5543241500854492,0.211089625954628,1,0.27251186966896057,0.47181975841522217,0.25566840171813965,1,0.2137450873851776,0.25629329681396484,0.5299615859985352,1,0.31843772530555725,0.15102659165859222,0.5305358171463013,0,0.08020365238189697,0.8488637208938599,0.07093263417482376,1,0.23792386054992676,0.5335807800292969,0.22849535942077637,1,0.21312950551509857,0.5668680667877197,0.22000247240066528,1,0.28829532861709595,0.337063193321228,0.374641478061676,0,0.3642507791519165,0.22440721094608307,0.41134196519851685,0,0.08735231310129166,0.8319917321205139,0.08065592497587204,0,0.21762557327747345,0.5655267238616943,0.21684768795967102,1,0.26735883951187134,0.4570216238498688,0.2756195366382599,0,0.44316619634628296,0.13370291888713837,0.42313089966773987,0,0.5850164890289307,0.07044655084609985,0.3445369303226471,0,0.09285131841897964,0.8329166173934937,0.07423201948404312,0,0.21526893973350525,0.5741373896598816,0.2105935961008072,0,0.2312910109758377,0.5010855197906494,0.2676234543323517,0,0.23444026708602905,0.3516679108142853,0.4138917922973633,0,0.24832351505756378,0.12113352119922638,0.6305429339408875,0,0.09253135323524475,0.8348340392112732,0.07263462245464325,1,0.22312210500240326,0.5581042170524597,0.2187737375497818,1,0.29696395993232727,0.4196188449859619,0.2834171652793884,1,0.4102041721343994,0.11832989752292633,0.4714660048484802,1,0.4800443947315216,0.08484001457691193,0.4351155757904053,1,0.06687306612730026,0.845683753490448,0.08744315803050995,0,0.22179050743579865,0.5666168928146362,0.2115926295518875,0,0.22724828124046326,0.5333943963050842,0.23935729265213013,0,0.23547130823135376,0.3199969530105591,0.4445316791534424,1,0.45672833919525146,0.18012753129005432,0.3631441593170166,1,0.07975893467664719,0.8531317114830017,0.0671093612909317,1,0.2197960913181305,0.5615746378898621,0.21862930059432983,1,0.2840178608894348,0.447394996881485,0.26858705282211304,1,0.3076639175415039,0.20666638016700745,0.48566973209381104,1,0.37794923782348633,0.1188778281211853,0.5031729340553284,1,0.0025582822539501936,0.0004664958502757706,-0.004354304396256265,-0.005990659241961518,-0.006609938835633821,-0.001206372485245616,-0.010681538897816442
2024-10-01,0.09021031111478806,0.8310033082962036,0.07878631353378296,1,0.2345861941576004,0.5543241500854492,0.211089625954628,1,0.28092074394226074,0.45764797925949097,0.2614312767982483,1,0.22529134154319763,0.20135650038719177,0.5733521580696106,0,0.2936570942401886,0.16145211458206177,0.544890820980072,0,0.08020365238189697,0.8488637208938599,0.07093263417482376,1,0.2267170250415802,0.56011962890625,0.2131633311510086,1,0.21601253747940063,0.5619263052940369,0.22206111252307892,1,0.2755056321620941,0.3659054636955261,0.3585888743400574,0,0.37852743268013,0.25369057059288025,0.36778196692466736,0,0.08735231310129166,0.8319917321205139,0.08065592497587204,0,0.21762557327747345,0.5655267238616943,0.21684768795967102,1,0.27118155360221863,0.444284051656723,0.28453439474105835,0,0.40559107065200806,0.1623125672340393,0.432096391916275,1,0.5716741681098938,0.06577234715223312,0.36255350708961487,1,0.09285131841897964,0.8329166173934937,0.07423201948404312,0,0.21526893973350525,0.5741373896598816,0.2105935961008072,0,0.23351958394050598,0.4977305829524994,0.26874974370002747,0,0.22421890497207642,0.38111862540245056,0.39466241002082825,1,0.4359052777290344,0.1960289478302002,0.36806583404541016,1,0.09253135323524475,0.8348340392112732,0.07263462245464325,1,0.22312210500240326,0.5581042170524597,0.2187737375497818,1,0.29643791913986206,0.41993653774261475,0.2836255133152008,1,0.40573152899742126,0.09992760419845581,0.49434083700180054,1,0.4913365840911865,0.10522088408470154,0.4034425914287567,0,0.06687306612730026,0.845683753490448,0.08744315803050995,0,0.22179050743579865,0.5666168928146362,0.2115926295518875,0,0.2267126739025116,0.5342956185340881,0.23899169266223907,1,0.24492453038692474,0.318755179643631,0.4363202750682831,1,0.4528210759162903,0.18724846839904785,0.35993051528930664,1,0.07975893467664719,0.8531317114830017,0.0671093612909317,1,0.2197960913181305,0.5615746378898621,0.21862930059432983,1,0.2825004458427429,0.4495529532432556,0.2679465115070343,1,0.3009219765663147,0.15598273277282715,0.5430952310562134,1,0.37435224652290344,0.14714094996452332,0.47850680351257324,0,-0.0007635228797413394,-0.020152274009626846,0.00021794089442940675,-0.002132408085079394,-0.0015054119559817557,-0.003602943782264063,-0.0028823491942161577
2024-10-02,0.09021031111478806,0.8310033082962036,0.07878631353378296,1,0.2345861941576004,0.5543241500854492,0.211089625954628,0,0.2502712905406952,0.5096600651741028,0.24006861448287964,0,0.21071326732635498,0.42076748609542847,0.36851927638053894,0,0.40609923005104065,0.257542222738266,0.3363586366176605,0,0.08020365238189697,0.8488637208938599,0.07093263417482376,1,0.2261684685945511,0.5615233182907104,0.21230824291706085,1,0.2206222116947174,0.5530443787574768,0.22633342444896698,0,0.2789330780506134,0.35742703080177307,0.36363986134529114,0,0.37071335315704346,0.22678065299987793,0.4025059938430786,0,0.08735231310129166,0.8319917321205139,0.08065592497587204,0,0.21762557327747345,0.5655267238616943,0.21684768795967102,1,0.26885560154914856,0.4486948549747467,0.28244951367378235,1,0.3969362676143646,0.18505050241947174,0.41801315546035767,1,0.4888168275356293,0.12882381677627563,0.3823593258857727,0,0.09285131841897964,0.8329166173934937,0.07423201948404312,0,0.21526893973350525,0.5741373896598816,0.2105935961008072,0,0.22845607995986938,0.5055863261222839,0.26595762372016907,1,0.24353086948394775,0.413347989320755,0.34312111139297485,1,0.46009063720703125,0.17872139811515808,0.36118802428245544,1,0.09253135323524475,0.8348340392112732,0.07263462245464325,1,0.22312210500240326,0.5581042170524597,0.2187737375497818,1,0.2955873906612396,0.4207351505756378,0.28367748856544495,1,0.4014536738395691,0.14457114040851593,0.45397523045539856,0,0.478832483291626,0.12137405574321747,0.39979344606399536,0,0.06687306612730026,0.845683753490448,0.08744315803050995,0,0.22179050743579865,0.5666168928146362,0.2115926295518875,0,0.22099654376506805,0.5439504981040955,0.23505298793315887,1,0.24721293151378632,0.4209997057914734,0.3317873179912567,0,0.4615855813026428,0.17242513597011566,0.3659892976284027,0,0.07975893467664719,0.8531317114830017,0.0671093612909317,1,0.2197960913181305,0.5615746378898621,0.21862930059432983,1,0.2816552221775055,0.4507313370704651,0.26761338114738464,0,0.3186377286911011,0.2708211839199066,0.4105410873889923,0,0.418606162071228,0.18043726682662964,0.40095648169517517,0,-0.003873959290095159,-0.0031410037555480233,-0.006435118606644201,-0.0012314713365991722,-0.010734693262170783,-0.0029426304762352534,-0.008113071947616344
2024-10-03,0.09021031111478806,0.8310033082962036,0.07878631353378296,1,0.2345861941576004,0.5543241500854492,0.211089625954628,0,0.26521241664886475,0.4851759076118469,0.24961167573928833,0,0.22793908417224884,0.2743532955646515,0.49770766496658325,0,0.41144171357154846,0.24581263959407806,0.3427456021308899,0,0.08020365238189697,0.8488637208938599,0.07093263417482376,1,0.2263295203447342,0.561185359954834,0.21248507499694824,0,0.24922996759414673,0.5018646717071533,0.24890536069869995,0,0.28511878848075867,0.3504030406475067,0.3644781708717346,0,0.3486791253089905,0.22651159763336182,0.4248093366622925,0,0.08735231310129166,0.8319917321205139,0.08065592497587204,0,0.21762557327747345,0.5655267238616943,0.21684768795967102,1,0.2756344974040985,0.4437675476074219,0.2805979251861572,1,0.5023744106292725,0.08419505506753922,0.4134305417537689,1,0.633320689201355,0.038146037608385086,0.3285332918167114,1,0.09285131841897964,0.8329166173934937,0.07423201948404312,0,0.21526893973350525,0.5741373896598816,0.2105935961008072,1,0.22911019623279572,0.5046311020851135,0.26625877618789673,1,0.22856666147708893,0.3594013750553131,0.41203203797340393,1,0.31513357162475586,0.17471826076507568,0.5101481676101685,1,0.09253135323524475,0.8348340392112732,0.07263462245464325,1,0.22312210500240326,0.5581042170524597,0.2187737375497818,1,0.2964172959327698,0.4202134311199188,0.2833692729473114,0,0.4033099412918091,0.09031454473733902,0.5063754916191101,0,0.46470677852630615,0.07911872118711472,0.45617446303367615,0,0.06687306612730026,0.845683753490448,0.08744315803050995,0,0.22179050743579865,0.5666168928146362,0.2115926295518875,0,0.2325124740600586,0.5234702229499817,0.24401725828647614,0,0.32145634293556213,0.30790308117866516,0.3706406056880951,1,0.4536322355270386,0.19686564803123474,0.3495021164417267,1,0.07975893467664719,0.8531317114830017,0.0671093612909317,1,0.2197960913181305,0.5615746378898621,0.21862931549549103,1,0.281651109457016,0.4507426917552948,0.2676062285900116,0,0.319551020860672,0.1952294409275055,0.4852195084095001,0,0.5185627937316895,0.15565374493598938,0.32578349113464355,0,-0.0016454285861857447,-0.011843986113947377,-0.006783824088423605,-0.00514047923409585,-1.5240417587541738e-05,-0.006712984696272719,-0.008614165875022084
2024-10-04,0.09021031111478806,0.8310033082962036,0.07878631353378296,1,0.2345861941576004,0.5543241500854492,0.211089625954628,0,0.2909739911556244,0.441807359457016,0.26721858978271484,0,0.23757119476795197,0.22343313694000244,0.5389956831932068,0,0.3632217347621918,0.21688975393772125,0.4198884963989258,0,0.08020365238189697,0.8488637208938599,0.07093263417482376,1,0.22637908160686493,0.5610790252685547,0.2125418484210968,0,0.276058167219162,0.45415452122688293,0.26978737115859985,0,0.30159252882003784,0.32647761702537537,0.3719298839569092,0,0.3727818727493286,0.22717879712581635,0.40003934502601624,0,0.08735231310129166,0.8319917321205139,0.08065592497587204,0,0.21762557327747345,0.5655267238616943,0.21684768795967102,1,0.2747087776660919,0.4355512857437134,0.2897399663925171,1,0.48397985100746155,0.09852275997400284,0.41749730706214905,1,0.6561871767044067,0.03503957390785217,0.3087732791900635,1,0.09285131841897964,0.8329166173934937,0.07423201948404312,0,0.21526893973350525,0.5741373896598816,0.2105935961008072,1,0.23391179740428925,0.4975070059299469,0.26858121156692505,1,0.22322118282318115,0.3674677610397339,0.40931105613708496,1,0.3022189736366272,0.16568121314048767,0.5320997834205627,1,0.09253135323524475,0.8348340392112732,0.07263462245464325,1,0.22312210500240326,0.5581042170524597,0.2187737375497818,1,0.29523542523384094,0.4211788475513458,0.283585786819458,0,0.3899634778499603,0.16845667362213135,0.4415798783302307,0,0.4787590205669403,0.13098330795764923,0.39025768637657166,0,0.06687306612730026,0.845683753490448,0.08744315803050995,0,0.22179050743579865,0.5666168928146362,0.2115926295518875,1,0.2312440723180771,0.5254055261611938,0.24335037171840668,1,0.23820191621780396,0.3493995666503906,0.41239845752716064,1,0.39878708124160767,0.19049622118473053,0.41071662306785583,1,0.07975893467664719,0.8531317114830017,0.0671093612909317,1,0.2197960764169693,0.5615745782852173,0.21862930059432983,0,0.2816496193408966,0.4507451057434082,0.2676052153110504,0,0.3068104088306427,0.15936431288719177,0.5338252782821655,0,0.33925315737724304,0.13497379422187805,0.5257731080055237,0,-0.0031823204419890254,0.003242515977127476,-0.005446462743250856,-0.00012758124191228698,-0.003154814521291044,0.00474469573327118,-0.005408302475151132
2024-10-05,0.09021031111478806,0.8310033082962036,0.07878631353378296,1,0.2345861941576004,0.5543241500854492,0.211089625954628,0,0.17185167968273163,0.6497189402580261,0.17842935025691986,0,0.19713321328163147,0.551908016204834,0.2509588301181793,0,0.4101879596710205,0.24848441779613495,0.34132760763168335,0,0.08020365238189697,0.8488637208938599,0.07093263417482376,1,0.2263869345188141,0.5610631704330444,0.21254992485046387,0,0.17777393758296967,0.6406196355819702,0.1816064566373825,0,0.2234475165605545,0.4933643639087677,0.2831881046295166,0,0.3983304500579834,0.25969716906547546,0.3419724106788635,0,0.08735231310129166,0.8319917321205139,0.08065592497587204,0,0.21762557327747345,0.5655267238616943,0.21684768795967102,1,0.25388121604919434,0.48589304089546204,0.26022571325302124,1,0.3089723587036133,0.3001539707183838,0.39087367057800293,1,0.4611508548259735,0.18039970099925995,0.35844939947128296,1,0.09285131841897964,0.8329166173934937,0.07423201948404312,0,0.21526893973350525,0.5741373896598816,0.2105935961008072,1,0.15549492835998535,0.658064067363739,0.18644097447395325,1,0.3343227803707123,0.4626011252403259,0.2030760794878006,1,0.5518596172332764,0.12638773024082184,0.321752667427063,1,0.09253135323524475,0.8348340392112732,0.07263462245464325,1,0.22312210500240326,0.5581042170524597,0.2187737375497818,0,0.2918659448623657,0.4269946217536926,0.2811395227909088,0,0.32031676173210144,0.31981027126312256,0.359872967004776,0,0.4731655418872833,0.1473277360200882,0.3795067071914673,0,0.06687306612730026,0.845683753490448,0.08744315803050995,0,0.22179050743579865,0.5666168928146362,0.2115926295518875,1,0.17956577241420746,0.6289050579071045,0.19152918457984924,1,0.2408827841281891,0.534254789352417,0.2248624563217163,1,0.47111427783966064,0.15648743510246277,0.3723982870578766,1,0.07975893467664719,0.8531317114830017,0.0671093612909317,1,0.2197960913181305,0.5615746378898621,0.21862931549549103,0,0.2816489338874817,0.4507461190223694,0.26760491728782654,0,0.3423117995262146,0.35509997606277466,0.3025881350040436,0,0.4789730906486511,0.16704274713993073,0.35398417711257935,0,-0.0031823204419890254,0.003242515977127476,-0.005446462743250856,-0.00012758124191228698,-0.003154814521291044,0.00474469573327118,-0.005408302475151132
2024-10-06,0.09021031111478806,0.8310033082962036,0.07878631353378296,1,0.2345861941576004,0.5543241500854492,0.211089625954628,0,0.17185167968273163,0.6497189402580261,0.17842935025691986,0,0.19713321328163147,0.551908016204834,0.2509588301181793,0,0.4101879596710205,0.24848441779613495,0.34132760763168335,0,0.08020365238189697,0.8488637208938599,0.07093263417482376,1,0.2263869345188141,0.5610631704330444,0.21254992485046387,0,0.17777393758296967,0.6406196355819702,0.1816064566373825,0,0.2234475165605545,0.4933643639087677,0.2831881046295166,0,0.3983304500579834,0.25969716906547546,0.3419724106788635,0,0.08735231310129166,0.8319917321205139,0.08065592497587204,0,0.21762557327747345,0.5655267238616943,0.21684768795967102,1,0.25388121604919434,0.48589304089546204,0.26022571325302124,1,0.3089723587036133,0.3001539707183838,0.39087367057800293,1,0.4611508548259735,0.18039970099925995,0.35844939947128296,1,0.09285131841897964,0.8329166173934937,0.07423201948404312,0,0.21526893973350525,0.5741373896598816,0.2105935961008072,1,0.15549492835998535,0.658064067363739,0.18644097447395325,1,0.3343227803707123,0.4626011252403259,0.2030760794878006,1,0.5518596172332764,0.12638773024082184,0.321752667427063,1,0.09253135323524475,0.8348340392112732,0.07263462245464325,1,0.22312210500240326,0.5581042170524597,0.2187737375497818,0,0.2918659448623657,0.4269946217536926,0.2811395227909088,0,0.32031676173210144,0.31981027126312256,0.359872967004776,0,0.4731655418872833,0.1473277360200882,0.3795067071914673,0,0.06687306612730026,0.845683753490448,0.08744315803050995,0,0.22179050743579865,0.5666168928146362,0.2115926295518875,1,0.17956577241420746,0.6289050579071045,0.19152918457984924,1,0.2408827841281891,0.534254789352417,0.2248624563217163,1,0.47111427783966064,0.15648743510246277,0.3723982870578766,1,0.07975893467664719,0.8531317114830017,0.0671093612909317,1,0.2197960913181305,0.5615746378898621,0.21862931549549103,0,0.2816489338874817,0.4507461190223694,0.26760491728782654,0,0.3423117995262146,0.35509997606277466,0.3025881350040436,0,0.4789730906486511,0.16704274713993073,0.35398417711257935,0,-0.0031823204419890254,0.003242515977127476,-0.005446462743250856,-0.00012758124191228698,-0.003154814521291044,0.00474469573327118,-0.005408302475151132
